userId,Name,Gender,Mobile number,email id,average instagram usage per day
23db2b8d-147f-44df-8aef-d32439033c8d,Brendan White,Female,384-335-9646x25444,myersemily@example.net,3.83
3354657a-3dda-42c3-83e9-aeace99eb0fe,Laura Hester,Male,001-837-984-1813,rita91@example.com,7.17
f33ecd36-b03f-4c60-bfb1-54105ebe3df1,Mr. William Powers,Female,426-758-9949,bhall@example.net,7.69
a74ff09f-a463-47dd-82d8-8eafcc23bf56,Amanda Hill,Male,699-246-3195x441,kenneth88@example.com,5.84
59cf7700-0dfc-4e66-a241-d3ccd99c87c9,Mark Acevedo,Male,+1-870-704-8335x9337,matthewlong@example.com,1.8
252bed3b-37fd-4baf-a37b-cd9bdbb4505a,Amy Parks,Male,(757)846-2882x33919,alexandria43@example.org,4.96
230288a0-204a-4a84-8d12-6808e6e89f50,Shannon Ramirez,Female,9818846418,jenkinsmichael@example.com,3.02
477287ee-e90a-48e3-a5a8-3e3e27b918fc,Kelsey Ross,Other,(298)572-2168,sarahkim@example.com,8.8
ecfb2718-883d-4f97-9542-fd533eb80237,Julie Cook,Other,460-809-1321x86506,alvareztracy@example.com,4.69
45687588-262f-47e4-a5d7-a3c23573ef8c,Lisa Evans,Male,657-505-2659x19842,johnsonjames@example.net,5.37
50a8efdc-ae39-4433-b361-4face335366a,Jessica Oconnor,Female,581-390-8142x5000,eric45@example.com,3.2
bd0b3332-a7bf-4ba0-aa16-d459199bbcf5,Anthony Brown,Male,(780)466-1605,troylam@example.net,4.9
8ff777f6-d6d8-4fd3-b10f-83bfbf87433a,Harold Smith,Other,459.295.4891,ndennis@example.org,2.68
eee018bc-50e1-4361-8883-c108b2582beb,Michele Phillips,Other,(310)207-0228x698,josephtran@example.com,0.12
f286a16d-c970-46bd-968a-05c4777ddfc6,Logan Thomas,Male,552.357.5432x231,alexdavis@example.org,8.53
8910a993-a115-4ccc-af08-a8929a9244df,Kim Ortega,Other,+1-954-713-9447x08101,robin95@example.net,9.72
2c0dee1c-99d9-49c3-9f26-14ce54a59f9d,Fred Barrett,Female,3197728039,williamskathleen@example.net,3.3
c7e663b8-4d90-448c-bddd-db5b0ff3368a,David Aguilar,Female,(735)490-9137x12779,ivaughn@example.net,2.79
109558e8-48f8-4242-8a7f-89a6d7040c28,Nicholas Salas,Female,3338374642,greenemary@example.org,9.38
db0e4581-e27f-487b-8d88-217ef4481bfe,Jerome Williams,Other,813.403.4454,omercer@example.com,3.41
63f5420a-ddb6-4f03-873d-61da3a7e3534,Taylor Mueller,Other,628-822-7083,heatherkidd@example.com,4.55
16c17699-cf15-4f85-86ab-7f60e4a166f2,Danielle Green,Other,001-322-576-9961,apriljones@example.com,2.35
a6054ef4-33e4-435a-92b7-6cf810f44983,Dennis Hernandez,Other,230-848-0855x926,richard36@example.com,0.69
eddfc2b8-2de5-4eb9-907d-0afc0462ef6a,Amy Mcgee,Male,+1-927-727-3970,michael86@example.org,6.4
9d6d3bbe-a8d4-403c-a727-b4a06184ca85,Robert Moore,Other,(481)244-0292x52083,heatherburke@example.net,8.38
c63be223-1c0a-47d9-b098-812876d06cc9,Stephen Taylor Jr.,Female,607-774-5142,amber16@example.com,0.79
42d65aa4-2b4b-4724-91d4-a5dab052d747,Erik Pearson,Other,+1-432-551-1330x28719,sanchezjasmine@example.net,0.82
854dc854-ab74-4c85-99b6-a5706505e619,Scott Dickson,Other,751.596.8878,michael07@example.com,4.85
a660a620-c977-44eb-9307-8546d2500314,Dawn Perez,Male,+1-811-786-5218x794,adavis@example.net,9.95
7dea83da-f2d3-4cd7-bd7a-1bf1d486a1dc,Darlene Meyers,Female,(646)856-6074x0731,cynthiaharrington@example.org,8.85
e1f8d84a-7008-4804-a26d-ce7c27652fca,Nicholas Fisher,Female,932.691.7370x245,tonyafisher@example.org,8.13
f0e3ab46-25ef-4372-bf43-d28df91fa571,Johnny Davis,Other,001-696-341-9730x7556,stevenskaren@example.net,6.61
88316387-b571-4e96-81a7-63d48e798fca,Brian Bradford,Female,+1-882-343-9336x75424,collinstracie@example.org,7.59
403ed491-9526-4b9a-b0ef-9fcc5fe3bf19,Courtney Fletcher,Female,715.802.2973,hannah26@example.org,9.17
170b4ab2-0e52-4b5d-be32-e78e42c79df8,Hector Ball,Male,587.425.1634,greenemarie@example.org,1.36
c9e40057-95c5-4964-8f11-b51aead5c5ca,Michael Moore,Male,754-620-9911x396,victoria43@example.net,9.09
91c29be7-4b9d-4f02-85b3-c5cd46060fe2,Paul Hull,Male,(684)637-8171x83053,terrancehicks@example.net,6.05
452833f1-02b4-4cc7-acea-53ced84feec2,Zachary Wood,Other,(547)768-0174x596,mccoyjennifer@example.org,2.43
9c81a4d2-3655-4efa-828a-bb1b44492c73,Michael Rogers,Other,936.936.7616,caitlinanderson@example.com,1.77
e55235f7-f92e-4f62-a744-0363c0f5b91e,Jillian Martinez,Male,905-485-7292x3910,shoffman@example.com,4.15
9e98e528-5fef-4705-83db-cccfbd4e50c9,Kurt Small,Male,241-370-1548x591,castanedajohn@example.com,8.91
8f501626-4e88-4ccc-9b92-cf8b35333572,Brian Thomas,Female,(280)450-7688x5747,zburns@example.com,4.58
f25a2cb4-67fe-4a9f-badf-d5a41722e5b4,Jonathan Chavez,Female,+1-717-813-4710x39382,kochbarry@example.org,2.73
c4fb0c5b-4d27-4ef4-a745-8c3e259372d1,Charles Arnold,Male,001-542-366-9334x6122,gomezeric@example.net,8.58
79be2c7f-4524-4ebf-bd73-a105d8799e35,Deborah Fernandez,Other,855.366.1338x162,millergeorge@example.net,1.13
2d50a93a-7bd3-48c6-989a-8f478cf56e09,Kelly Conner,Other,001-483-968-0981x3877,walshandrew@example.com,1.52
4ecbdde9-1ac1-4cda-829e-c25864da5295,Aaron Smith,Male,257.838.1266x096,kerrallen@example.com,7.32
3d080002-69c2-4091-9085-c0d15695e0f7,Tina Ward,Other,207-962-1467,thomasreyes@example.net,7.03
45fd7738-d731-4354-983e-7a7a7020b181,Dustin Beck,Male,(647)440-3425,isaac95@example.org,4.06
896b2657-9495-466b-b44a-5a4beb4914ec,Elizabeth Eaton,Other,(569)993-5602x2229,brian13@example.com,6.95
b98b1e24-1bc3-4998-a8f7-c40d1cb681cd,Bryan Johnson,Male,+1-668-721-1720x47199,ortizroger@example.net,8.22
441c9136-cf9c-44d1-8eb2-5d44fe47cd52,Matthew Peters,Female,716.502.4026x0917,lucaswilliam@example.net,3.35
924b3eff-4142-4855-8ae8-1ed1af03f3f4,Nicholas Fernandez,Male,620-622-0454x6548,jeremythomas@example.net,6.42
975c44e4-105d-42e9-965c-41929cf9b83e,Brian Garcia,Other,+1-510-694-6097x97825,timothy87@example.com,0.64
b49828e2-662d-4374-9094-c5313c12ac0c,Sara Johnson,Male,984-758-0012,lauren20@example.com,4.78
78a80399-485a-4798-995a-5e7974c3fce9,Shawn Stevens,Female,(666)710-9538x7942,sara28@example.net,1.35
bce70f6b-9a63-4283-a416-ff9fce41a83b,William Fletcher,Female,001-647-266-2925x85793,davidmartinez@example.com,8.47
